,44
Albert Bruning,2
Charles Foster,2
Olive Reeves,2
Ralph Theadore,2
John J. Pierson,2
Thomas Horton,2
Thomas J. MacMahon,2
Frances Alaine,2
Betty Scott,2
Billie West,2
Lea LeLand,2
Cecile Mayo,2
Flora Zabelle,2
Carroll Daly,2
George Brennan,2
Edmund Shalet,2
Katherine Clarendon,2
Carolyne McLean,2
Ilka Marie Diehl,2
Sadie Berger,2
Howard W. Marsh,2
Billie Busch,2
Eliza Glassford,2
Ada Deaves,2
Viola Fortescue,2
Leila Frost,2
Archie Boyd,2
Sam Coit,2
Eugene Weber,2
Miss Eva Benton,2
Marguerite Abbott,2
Barrett Greenwood,2
S. L. Richardson,2
"Frazer, Bunce and Moran",2
Solly Cohan and Company,2
The Bohemian Trio,2
Ethel von Waldron,2
Elizabeth Paige,2
Fred A. Stone,2
Edna Bates,2
Flossie Hope,2
Howard Dyott,2
Jane Sheridan,2
Evelyn Carroll,2
Fred Emerson,2
Fred Perrine,2
Peggy Preston,2
Dorothy Bertrand,2
Richard Taber,2
Edna Hunter,2
J. W. Wilson,2
Daisy Leon,2
Louise Groody,2
Irene Fenwick,2
Edgar Nelson,2
John Bunny,2
Dorothy Wilcox,2
Natalie Seymour,2
Marie Baxter,2
Mr. Sam Watson,2
Miss Marjorie Blythe,2
Miss Adelaide Mason,2
Miss Rosalie Ceballos,2
Miss Harriet Leidy,2
Miriam Sanford,2
Fannie Bradshaw,2
Fred Roberts,2
Stanley Fields,2
Ralph Harlowe,2
Martin Enwright,2
Poney Cantor,2
Charles Brown ,2
George O'Donnell,2
Dorothy Maynard,2
Mary Smith,2
J. Kern,2
Amy Russell,2
Neomi Sumers,2
Irma Bertrand,2
James Yuncu,2
George Wilson,2
Julia Bruns,2
Nellie Could,2
Marie Dolber,2
Carrie Lauders,2
Mlle. Emma Trentini,2
Henry Taylor,2
William W. Black,2
Harriet Marlotte,2
Vera De Rosa,2
Elizabeth Keenan,2
E. Tiernauer,2
David Klein,2
David Torrence,2
Wm. Steinway Lavine,2
Florence Reed,2
Edwin Arden,2
Emmett Shackleford,2
Josephine Royle,2
Willard Robertson,2
Herbert Ashton,2
Richard F. Freeman,2
William Naughton,2
W. H. Hallett,2
Mayme Kelso,2
Georgie Armstrong,2
La Arenera and Victor,2
"Leonard and Louie, Twentieth Century Gymnasts",2
"Four Florimonds, Jugglers on Free Ladders",2
William H. Thompson,2
Joe Errico,2
Helene Violette,2
Bonnie Harvey,2
Mabel Wilson,2
Fred J. Webber,2
Mr. John Reinhard,2
Mr. Jack Gardner,2
Mr. Dallas Welford,2
Eleanor Christie,2
Lillian Buchanan,2
Lea F. Leland,2
Helene Ross,2
Irene Palmer,2
Mr. Carl Jackson,2
Mr. Fred'k Clayton,2
Miss Marion Nichols,2
Miss Virginia Wilson,2
Miss Anna Doherty,2
Mr. Edgar Norris,2
Mr. Fred Sidney,2
Ralph Sumpter,2
H. Reeves Smith,2
Frederick Powell,2
Maude Granger,2
Joseph S. Marba,2
Herbert McKenzie,2
Leo Ditrichstein,2
William Morris,2
James Kearney,2
Janet Beecher,2
Jane Grey,2
Eleanor Verden,2
Margaret Bradley,2
Edward Fielding,2
Annie Esmond,2
Jerome Patrick,2
Ernest Lawford,2
Edgar Norton,2
John Holland,2
Mercita Esmonde,2
Amy Veness,2
Janet Slater,2
Edgar Norris,2
Frank Mason,2
Anna Doherty ,2
Miss Marian Nichols,2
Henry M. Johnson,2
Hazel Lewis,2
Mildred Barrett,2
May Hennessy,2
Alice Dovey,2
Craufurd Kent,2
Jessie Lewis,2
Alice Hegeman,2
A. S. Humerson,2
Louise Kelley,2
Alice Kelly,2
Mattie Ferguson,2
Eleanor Woodruff,2
Helen Collier Garrick,2
Malcolm Grindell ,2
John Sharkey,2
George Ross,2
William Farnum,2
Dustin Farnum,2
James K. Hackett,2
Gretchen Lang,2
Walter Craven,2
Helen Dahl,2
Frederick Truesdell,2
Mary Hampton,2
Natalie Jerome,2
William J. Kline,2
Percival T. Moore,2
Marie Hudson,2
Albert Goldberg,2
Franklyn Roberts,2
Vaughan Trevor,2
Frank Burbeck,2
Frazer Coulter,2
Charles Stedman,2
Grace Weeks,2
Marie Cattell,2
Irene Cattell,2
Maxfield Moree,2
Mr. Thomas Conkey,2
Miss Elgie Bowen,2
Elizabeth Bell,2
Miss Jessie Bradbury,2
Miss Madeline Dailey,2
Mr. Otto F. Hoffmann,2
Mr. Tom McNaughton,2
Mr. Fred C. Jones,2
Mr. Len Litchfield,2
Dolly Gray,2
Ethel Brice,2
Grace Field,2
Al Wilder,2
Joseph Maloney,2
Betty La Boulaye,2
Gladys Meyrick,2
Florence Malone,2
Pauline Duffield,2
Egbert T. Roach,2
Minnie Williams,2
Montgomery and Stone,2
Mr. Hackett,2
E. M. Holland,2
"Daniel Jarrett, Jr.",2
Olive Harper Thorne,2
Pauline Neff,2
Mable Inslee,2
Izetta Jewel,2
Will Oakland and Company,2
"Liane Carrera, Anna Held's Daughter, In a Singing and Dancing Creation",2
Joseph Rawley,2
George Atalla,2
Walter Renfort,2
Frederick Hardy,2
Tom Azoom,2
Sydney Ainsworth,2
Mary Ryan,2
Ethel Von Waldron,2
G. H. Beuermann,2
Erville Alderson,2
Minor S. Watson,2
J. Gunnis Davis,2
Frederick Annerly,2
James Manley,2
Mary Land,2
Irma La Pierre,2
Winona Shannon,2
William S. Lyons (as Wm. S. Lyons),2
William Eville (as Wm. Eville),2
Edgar Halstead,2
John C. King,2
"Daintee La Crandall, ""The Girl on the Wire""",1
Meredith Talks. Snoozer (The Bulldog with a College Education) Does Everything But Talk,1
"Cooper and Robinson, Vaudeville's Most Famous Colored Comedians",1
"Volant, And His Flying Piano",1
"Yorke and Adams, The Celebrated Hebrew Comedians",1
Louis A. Simon and Kathryn Osterman,1
"Grace Wilson, ""That's All""",1
Cecil Lean,1
"Ed. Morton, The Comedian Who Sings",1
"Chris Richards, The Eccentric English Chap",1
"The Azard Brothers, In Hazardous Equilibristics",1
Helen May,1
Maude Abbe,1
John Linn,1
Kathryn Osterman,1
Joe Wall,1
Rouland Radcliffe,1
Louis A. Simon,1
Thos. F. Reynolds,1
H. Reed,1
Mark Fenton,1
Frederick Burt,1
"Hastings and Wilson, ""The Lunatics""",1
Harry Devine and Nellie Williams,1
"Willa Holt Wakefield, A Radiant Personality, In Songs at the Piano",1
Seth Dewberry and Jawn Jawnson,1
"Big City Four: Rover, Bates, Emerson, Reed, Sweetest Singing Quartet in Vaudeville",1
Ed. F. Reynard,1
Jawn Jawnson,1
Mary Norman,1
Mr. Cosy Koontz,1
Mr. John Orman,1
Mr. Foxy Weesner,1
Fido,1
Gyp,1
George Leach,1
Kingsley Benedict,1
William Foran,1
Florence Foley,1
Margaret Gordon,1
Lucille Love,1
