Miss Ray Cox,1
Daniel Frohman and David Belasco,1
Wm. Elliott ,1
Jeanette Nordenshield,1
Doris Wilson,1
Mary Morman and H. H. Winslow,1
Claude Gillingwater,1
Ed Wynn,1
Charlot Bannel,1
"Director of ""The Purple Lady""",1
Bert Dantzer,1
"Playwright of ""The Cop""",1
Tom Barry,1
"Playwright of ""The Purple Lady""",1
Frank Kennedy,1
"Producer of Ralph Lynn in ""The Purple Lady""",1
"Playwright of ""The Girl from Childs""",1
"Playwright of ""A Regular Business Man""",1
"Hal Davis, Inez Macauley and Company",1
producers,1
A. Coccia ,1
Pianist for Mr. and Mrs. Carter De Haven,1
Dave Stamper,1
"Playwright of ""The Man in Front""",1
Alfred Sutro,1
Edmond Hayes,1
William Jerome,1
Frank Drietrini,1
Eva Taylor and Company,1
Writer of a Prelude and Interludes,1
Gus Edwards,1
Will D. Cobb and Edward Madden,1
Musical Director for Gus Edwards,1
Louis Silvers,1
Costumes ,1
Mme. Freisiner,1
Ralph Remley,1
Prelude and Interlude Creator,1
Daniel D. Carter,1
Harrison Rhodes and Thomas A. Wise,1
Producer and Director for Mlle. Minni Amato,1
Producer of The Six Steppers,1
Max Hart,1
"Producer of ""Detective Keen""",1
"Stage Manager for ""Detective Keen""",1
Sterling Cheseldine,1
Daniel Dore,1
Playwright and Director,1
A. Coccia,1
Cora McGeachey,1
Ren̬ Charpentier,1
Olive Carr,1
Master Mecanic for Hermine Shone and Company,1
Thomas McQueen,1
Composer of the Laughing Song,1
Mary Rider and St. P. Mellirac,1
Miss Davenport's Gowns and Hats,1
Redfern,1
McConnell and Simpson,1
H. H. Winslow,1
Richard Harding Davis,1
Everett S. Ruskay,1
Maverick Terrell and H. O. Stockham,1
Julius Steger,1
Director ,1
Author of Dialogue,1
WEBER and FIELDS JUBILEE COMPANY,1
"Josh Kidder, promoter of the International Cabaret-Vaudeville Trust",1
Henry Marshall,1
Playwrights and Composers,1
Manager of the Annual Benefit of the Actors' Fund of America,1
Walter Law,1
Mr. Law,1
Rosco Major,1
J. C. Becker & Bro.,1
Borani and Nevaro,1
Madame Larago,1
John W. Dunne,1
Emmett Devoy,1
"Orchestra Conductor for ""The Trained Nurses""",1
"Jane Quirk, Trained Nurse",1
"Director of ""The Trained Nurses""",1
John Stomberg,1
"Producer of ""Arcadia""",1
"Playwright of ""The Last of the Quakers""",1
